campaign_id,advertiser,industry,account_tier,sales_rep,ad_format,platform,quarter,month,impressions,clicks,ctr,cpm,booked_revenue,budget,actual_revenue,delivery_rate,cost_of_sale,gross_margin,margin_pct,deal_status,payment_status
5050,Riot Games,Gaming,Enterprise,Alex T.,Video Pre-Roll,Multi-Platform,Q4 2025,Oct,50000,1130,0.0226,39.71,1985.5,1970.04,1846.52,0.93,755.23,1091.29,59.1,Closed Won,Received
5051,Microsoft,Technology,Enterprise,James L.,Interactive Overlay,Mobile,Q1 2025,Feb,243469,5112,0.021,19.59,4769.56,4136.09,4015.97,0.842,1819.23,2196.74,54.7,Closed Won,Received
5052,Toyota,Automotive,Growth,Sarah K.,Sponsored Stream,Mobile,Q4 2025,Oct,50717,1288,0.0254,29.04,1472.82,1632.53,1421.27,0.965,451.96,969.31,68.2,In Flight,Pending
5053,Samsung,Technology,Growth,Alex T.,Video Pre-Roll,Mobile,Q4 2025,Oct,50000,959,0.0192,36.55,1827.5,2104.19,1661.2,0.909,466.8,1194.4,71.9,Closed Won,Invoiced
5054,Spotify,Entertainment,Mid-Market,Sarah K.,Audio Ad,Desktop,Q1 2025,Jan,50000,1160,0.0232,20.48,1024.0,959.98,782.34,0.764,311.37,470.97,60.2,Renewal Pending,Overdue
5055,Procter & Gamble,CPG,Mid-Market,Priya S.,Homepage Takeover,Desktop,Q2 2025,Apr,50000,1520,0.0304,36.58,1829.0,2171.4,1785.1,0.976,910.4,874.7,49.0,Closed Won,Received
5056,Toyota,Automotive,Growth,David R.,Video Pre-Roll,Desktop,Q2 2025,May,203451,4760,0.0234,28.85,5869.56,6491.82,5482.17,0.934,2653.37,2828.8,51.6,In Flight,Pending
5057,Riot Games,Gaming,Enterprise,Sarah K.,Sponsored Stream,Mobile,Q4 2025,Nov,90676,2031,0.0224,42.07,3814.74,4706.65,3971.14,1.041,1362.1,2609.04,65.7,In Flight,Pending
5058,Meta,Technology,Enterprise,James L.,Video Pre-Roll,Mobile,Q3 2025,Jul,50000,940,0.0188,33.28,1664.0,1461.93,1416.06,0.851,371.01,1045.05,73.8,Closed Won,Invoiced
5059,Samsung,Technology,Growth,Maria G.,Interactive Overlay,Mobile,Q3 2025,Sep,165788,3813,0.023,15.33,2541.53,2889.16,2289.92,0.901,748.8,1541.12,67.3,Closed Won,Received
5060,Procter & Gamble,CPG,Enterprise,Alex T.,Interactive Overlay,Multi-Platform,Q4 2025,Nov,67188,1249,0.0186,23.04,1548.01,1679.91,1555.75,1.005,281.59,1274.16,81.9,Closed Won,Invoiced
5061,Toyota,Automotive,Mid-Market,Sarah K.,Audio Ad,Mobile,Q1 2025,Feb,356773,5601,0.0157,19.78,7056.97,8349.53,5977.25,0.847,1757.31,4219.94,70.6,Closed Won,Received
5062,Disney,Entertainment,Mid-Market,Sarah K.,Homepage Takeover,Mobile,Q4 2025,Dec,519268,9087,0.0175,49.45,25677.8,26923.0,25729.16,1.002,10163.02,15566.14,60.5,Closed Won,Received
5063,Sony,Technology,Mid-Market,James L.,Display Banner,Desktop,Q4 2025,Nov,136751,1695,0.0124,22.25,3042.71,3095.81,3057.92,1.005,957.13,2100.79,68.7,Closed Won,Received
5064,Warner Bros,Entertainment,Mid-Market,David R.,Sponsored Stream,Desktop,Q3 2025,Sep,489832,12000,0.0245,29.82,14606.79,13289.56,13803.42,0.945,4002.99,9800.43,71.0,Closed Won,Invoiced
5065,Microsoft,Technology,Growth,Sarah K.,Video Pre-Roll,Multi-Platform,Q4 2025,Dec,489173,13599,0.0278,35.47,17350.97,20622.4,15737.33,0.907,5413.64,10323.69,65.6,Closed Won,Received
5066,Disney,Entertainment,Enterprise,Sarah K.,Homepage Takeover,Mobile,Q4 2025,Oct,174152,3901,0.0224,38.9,6774.51,7300.99,5880.27,0.868,1899.33,3980.94,67.7,Closed Won,Received
5067,Microsoft,Technology,Enterprise,David R.,Homepage Takeover,Multi-Platform,Q2 2025,May,651324,12765,0.0196,39.99,26046.45,22248.07,22452.04,0.862,9564.57,12887.47,57.4,Closed Won,Overdue
5068,Sony,Technology,Mid-Market,James L.,Video Pre-Roll,Desktop,Q2 2025,Jun,98979,2494,0.0252,26.07,2580.38,2293.82,2438.46,0.945,529.15,1909.31,78.3,Closed Won,Invoiced
5069,Apple,Technology,Mid-Market,Alex T.,Display Banner,Mobile,Q3 2025,Jul,50000,735,0.0147,24.25,1212.5,1319.85,836.62,0.69,337.16,499.46,59.7,In Flight,Pending
5070,Riot Games,Gaming,Enterprise,Alex T.,Interactive Overlay,Mobile,Q1 2025,Feb,50000,620,0.0124,16.28,814.0,818.86,712.25,0.875,245.73,466.52,65.5,In Flight,Pending
5071,Warner Bros,Entertainment,Growth,Sarah K.,Interactive Overlay,Desktop,Q4 2025,Oct,95401,1202,0.0126,34.57,3298.01,2667.94,2849.48,0.864,1119.85,1729.63,60.7,Renewal Pending,Received
5072,Apple,Technology,Mid-Market,David R.,Video Pre-Roll,Desktop,Q1 2025,Jan,249556,4941,0.0198,24.44,6099.15,7119.17,5129.39,0.841,1082.3,4047.09,78.9,Closed Won,Invoiced
5073,PepsiCo,CPG,Growth,Sarah K.,Video Pre-Roll,Desktop,Q3 2025,Sep,64611,1460,0.0226,28.61,1848.52,2402.4,1728.37,0.935,757.03,971.34,56.2,Closed Won,Invoiced
5074,Warner Bros,Entertainment,Growth,Maria G.,Video Pre-Roll,Mobile,Q3 2025,Aug,94784,2834,0.0299,26.02,2466.28,2635.85,1977.96,0.802,799.1,1178.86,59.6,Closed Won,Received
5075,Apple,Technology,Mid-Market,Alex T.,Interactive Overlay,Desktop,Q1 2025,Jan,59899,934,0.0156,12.61,755.33,762.96,767.42,1.016,396.76,370.66,48.3,Closed Won,Overdue
5076,Nike,Retail,Mid-Market,Priya S.,Video Pre-Roll,Multi-Platform,Q4 2025,Dec,96536,2480,0.0257,35.17,3395.17,3756.81,3371.4,0.993,900.16,2471.24,73.3,In Flight,Pending
5077,Adobe,Technology,Growth,Maria G.,Sponsored Stream,Mobile,Q4 2025,Dec,476473,7242,0.0152,31.68,15094.66,13510.8,15532.41,1.029,4535.46,10996.95,70.8,Closed Won,Received
5078,PepsiCo,CPG,Enterprise,Sarah K.,Video Pre-Roll,Desktop,Q3 2025,Jul,216654,5373,0.0248,31.63,6852.77,6683.81,6016.73,0.878,1034.88,4981.85,82.8,In Flight,Pending
5079,Nike,Retail,Mid-Market,James L.,Sponsored Stream,Desktop,Q2 2025,Apr,102581,3333,0.0325,23.97,2458.87,2651.16,2303.96,0.937,617.46,1686.5,73.2,In Flight,Pending
5080,Meta,Technology,Enterprise,Alex T.,Display Banner,Mobile,Q1 2025,Mar,432084,6783,0.0157,19.7,8512.05,9100.67,8392.88,0.986,4137.69,4255.19,50.7,Renewal Pending,Overdue
5081,Microsoft,Technology,Mid-Market,Priya S.,Sponsored Stream,Desktop,Q2 2025,Apr,166131,3605,0.0217,26.53,4407.46,4841.03,4010.79,0.91,1524.1,2486.69,62.0,Closed Won,Invoiced
5082,Unilever,CPG,Mid-Market,Maria G.,Video Pre-Roll,Multi-Platform,Q2 2025,Apr,181121,5288,0.0292,28.75,5207.23,4735.71,4556.33,0.875,1262.1,3294.23,72.3,Closed Won,Received
5083,Red Bull,CPG,Growth,Alex T.,Sponsored Stream,Multi-Platform,Q3 2025,Aug,406045,10841,0.0267,29.54,11994.57,12715.6,11154.95,0.93,4049.25,7105.7,63.7,Closed Won,Received
5084,EA Games,Gaming,Growth,David R.,Video Pre-Roll,Desktop,Q4 2025,Dec,123735,2944,0.0238,30.12,3726.9,4349.53,3369.12,0.904,1158.98,2210.14,65.6,Closed Won,Received
5085,Microsoft,Technology,Enterprise,James L.,Sponsored Stream,Mobile,Q3 2025,Jul,338741,6740,0.0199,29.15,9874.3,8852.48,8235.17,0.834,1309.39,6925.78,84.1,Renewal Pending,Overdue
5086,Coca-Cola,CPG,Enterprise,Maria G.,Interactive Overlay,Desktop,Q4 2025,Dec,319957,7295,0.0228,27.57,8821.21,9123.83,6439.48,0.73,1139.79,5299.69,82.3,Closed Won,Received
5087,Coca-Cola,CPG,Mid-Market,David R.,Video Pre-Roll,CTV,Q3 2025,Aug,144865,2839,0.0196,26.99,3909.91,4672.39,3307.78,0.846,1524.89,1782.89,53.9,Closed Won,Received
5088,Nike,Retail,Mid-Market,Sarah K.,Interactive Overlay,Mobile,Q3 2025,Sep,53265,1203,0.0226,18.64,992.86,823.58,725.78,0.731,307.73,418.05,57.6,Closed Won,Received
5089,Netflix,Entertainment,Enterprise,David R.,Homepage Takeover,Mobile,Q4 2025,Dec,164415,4472,0.0272,50.85,8360.5,7789.78,7106.42,0.85,1435.5,5670.92,79.8,Closed Won,Invoiced
5090,Procter & Gamble,CPG,Mid-Market,Maria G.,Video Pre-Roll,Desktop,Q3 2025,Sep,404255,11480,0.0284,28.76,11626.37,11562.2,12021.67,1.034,4051.3,7970.37,66.3,Closed Won,Received
5091,Adobe,Technology,Mid-Market,Maria G.,Display Banner,CTV,Q4 2025,Nov,313581,3794,0.0121,32.62,10229.01,10495.83,7896.8,0.772,2195.31,5701.49,72.2,Closed Won,Received
5092,PepsiCo,CPG,Growth,Sarah K.,Video Pre-Roll,Mobile,Q2 2025,May,639345,14257,0.0223,25.65,16399.2,16970.09,15677.64,0.956,7196.04,8481.6,54.1,In Flight,Pending
5093,Adobe,Technology,Enterprise,David R.,Sponsored Stream,Desktop,Q1 2025,Mar,109938,3188,0.029,30.76,3381.69,3508.3,3442.56,1.018,1359.81,2082.75,60.5,Renewal Pending,Received
5094,PepsiCo,CPG,Mid-Market,David R.,Sponsored Stream,CTV,Q4 2025,Dec,303592,7225,0.0238,30.47,9250.45,9564.44,7344.86,0.794,1762.77,5582.09,76.0,Closed Won,Received
5095,Microsoft,Technology,Mid-Market,Sarah K.,Video Pre-Roll,Mobile,Q3 2025,Aug,72763,1666,0.0229,27.51,2001.71,2154.15,2101.8,1.05,760.85,1340.95,63.8,Closed Won,Invoiced
5096,Meta,Technology,Growth,David R.,Homepage Takeover,Multi-Platform,Q4 2025,Oct,191236,4780,0.025,36.37,6955.25,7042.59,6357.1,0.914,2199.56,4157.54,65.4,Closed Won,Invoiced
5097,Samsung,Technology,Mid-Market,Alex T.,Interactive Overlay,Desktop,Q4 2025,Nov,394088,7960,0.0202,20.66,8141.86,8784.32,8377.97,1.029,2898.78,5479.19,65.4,In Flight,Pending
5098,Nike,Retail,Mid-Market,Sarah K.,Audio Ad,Multi-Platform,Q1 2025,Mar,336091,6184,0.0184,8.5,2856.77,2782.17,2691.08,0.942,804.63,1886.45,70.1,Closed Won,Received
5099,Sony,Technology,Enterprise,James L.,Homepage Takeover,CTV,Q3 2025,Jul,176744,6398,0.0362,43.33,7658.32,7679.96,6762.3,0.883,2380.33,4381.97,64.8,Renewal Pending,Received
5100,Netflix,Entertainment,Growth,Maria G.,Audio Ad,Desktop,Q2 2025,Apr,131341,866,0.0066,16.08,2111.96,2305.78,1450.92,0.687,384.49,1066.43,73.5,Closed Won,Received
5101,Coca-Cola,CPG,Mid-Market,James L.,Homepage Takeover,CTV,Q3 2025,Jul,73433,1520,0.0207,40.37,2964.49,2995.7,2463.49,0.831,569.07,1894.42,76.9,Closed Won,Invoiced
5102,Meta,Technology,Enterprise,Alex T.,Display Banner,Mobile,Q4 2025,Nov,135860,1942,0.0143,25.52,3467.15,3255.07,3377.0,0.974,759.82,2617.18,77.5,Closed Won,Invoiced
5103,Microsoft,Technology,Mid-Market,Alex T.,Interactive Overlay,Multi-Platform,Q2 2025,May,57058,1209,0.0212,21.22,1210.77,1660.34,1262.83,1.043,309.39,953.44,75.5,Renewal Pending,Invoiced
5104,Coca-Cola,CPG,Enterprise,Priya S.,Display Banner,Desktop,Q3 2025,Aug,123678,1719,0.0139,21.37,2643.0,2471.52,2135.54,0.808,837.13,1298.41,60.8,Closed Won,Received
5105,Nike,Retail,Enterprise,Priya S.,Display Banner,CTV,Q4 2025,Nov,50000,610,0.0122,28.07,1403.5,1645.69,1284.2,0.915,507.26,776.94,60.5,Closed Won,Invoiced
5106,Coca-Cola,CPG,Growth,Priya S.,Display Banner,Mobile,Q1 2025,Mar,56673,498,0.0088,12.95,733.92,776.69,648.79,0.884,321.8,326.99,50.4,Closed Won,Received
5107,Netflix,Entertainment,Mid-Market,Sarah K.,Interactive Overlay,Multi-Platform,Q4 2025,Oct,321980,5763,0.0179,28.91,9308.44,14094.34,8870.94,0.953,2900.8,5970.14,67.3,Closed Won,Overdue
5108,Warner Bros,Entertainment,Mid-Market,David R.,Interactive Overlay,Mobile,Q3 2025,Sep,294523,7392,0.0251,16.17,4762.44,4459.72,4414.78,0.927,1854.21,2560.57,58.0,Closed Won,Received
5109,Disney,Entertainment,Enterprise,Alex T.,Display Banner,Multi-Platform,Q4 2025,Nov,129174,2002,0.0155,30.63,3956.6,4342.32,3521.37,0.89,1250.09,2271.28,64.5,In Flight,Pending
5110,Coca-Cola,CPG,Growth,James L.,Display Banner,Multi-Platform,Q2 2025,May,171410,3153,0.0184,10.7,1834.09,1951.11,1780.9,0.971,676.74,1104.16,62.0,Renewal Pending,Received
5111,Nike,Retail,Enterprise,James L.,Display Banner,Mobile,Q1 2025,Mar,190825,1717,0.009,17.23,3287.91,3252.53,2844.04,0.865,1225.78,1618.26,56.9,Renewal Pending,Received
5112,Netflix,Entertainment,Mid-Market,James L.,Homepage Takeover,Multi-Platform,Q3 2025,Jul,235216,8044,0.0342,34.86,8199.63,10739.47,7551.86,0.921,3081.16,4470.7,59.2,Closed Won,Invoiced
5113,Disney,Entertainment,Growth,James L.,Video Pre-Roll,Multi-Platform,Q1 2025,Jan,215917,4361,0.0202,25.18,5436.79,5396.6,5338.93,0.982,1927.35,3411.58,63.9,Closed Won,Received
5114,Adobe,Technology,Growth,Priya S.,Sponsored Stream,Mobile,Q4 2025,Nov,55858,1530,0.0274,35.28,1970.67,1828.44,1698.72,0.862,490.93,1207.79,71.1,Closed Won,Invoiced
5115,PepsiCo,CPG,Mid-Market,James L.,Display Banner,Mobile,Q1 2025,Feb,50000,720,0.0144,19.04,952.0,932.51,848.23,0.891,320.63,527.6,62.2,Closed Won,Invoiced
5116,Warner Bros,Entertainment,Mid-Market,David R.,Display Banner,Mobile,Q4 2025,Nov,72149,887,0.0123,32.14,2318.87,2433.9,2029.01,0.875,986.1,1042.91,51.4,In Flight,Pending
5117,Warner Bros,Entertainment,Growth,Priya S.,Video Pre-Roll,Mobile,Q3 2025,Aug,143851,3625,0.0252,28.7,4128.52,4108.23,3946.87,0.956,1452.45,2494.42,63.2,Closed Won,Invoiced
5118,Procter & Gamble,CPG,Mid-Market,James L.,Video Pre-Roll,Desktop,Q2 2025,Apr,350861,9122,0.026,23.84,8364.53,8441.0,7929.57,0.948,2458.17,5471.4,69.0,Renewal Pending,Received
5119,Apple,Technology,Growth,Sarah K.,Audio Ad,Desktop,Q1 2025,Mar,196317,5575,0.0284,16.03,3146.96,2884.41,2766.18,0.879,1194.99,1571.19,56.8,In Flight,Pending
5120,Red Bull,CPG,Growth,Maria G.,Display Banner,Mobile,Q3 2025,Jul,249571,4542,0.0182,24.02,5994.7,5210.06,5676.98,0.947,1197.84,4479.14,78.9,Closed Won,Overdue
5121,Adobe,Technology,Enterprise,Maria G.,Video Pre-Roll,Mobile,Q3 2025,Sep,79419,2072,0.0261,21.36,1696.39,1784.36,1178.99,0.695,370.2,808.79,68.6,In Flight,Pending
5122,EA Games,Gaming,Enterprise,Maria G.,Display Banner,Desktop,Q2 2025,May,153801,3183,0.0207,23.8,3660.46,3561.51,3612.87,0.987,910.44,2702.43,74.8,Closed Won,Invoiced
5123,Intel,Technology,Mid-Market,Priya S.,Display Banner,Multi-Platform,Q4 2025,Nov,171508,3035,0.0177,17.42,2987.67,3247.86,2963.77,0.992,1001.75,1962.02,66.2,Closed Won,Received
5124,Toyota,Automotive,Enterprise,James L.,Video Pre-Roll,CTV,Q2 2025,Jun,88916,2027,0.0228,34.55,3072.05,2925.75,2700.33,0.879,1282.66,1417.67,52.5,Closed Won,Received
5125,Netflix,Entertainment,Enterprise,Alex T.,Display Banner,Desktop,Q2 2025,May,69172,1148,0.0166,18.84,1303.2,1235.01,1125.96,0.864,466.15,659.81,58.6,Renewal Pending,Received
5126,Adobe,Technology,Growth,Alex T.,Homepage Takeover,CTV,Q3 2025,Jul,135761,4249,0.0313,35.63,4837.16,4935.95,4426.0,0.915,721.44,3704.56,83.7,Closed Won,Invoiced
5127,Apple,Technology,Mid-Market,Alex T.,Homepage Takeover,CTV,Q1 2025,Feb,276229,9391,0.034,33.19,9168.04,8630.51,7765.33,0.847,2236.42,5528.91,71.2,In Flight,Pending
5128,Warner Bros,Entertainment,Growth,Priya S.,Display Banner,Multi-Platform,Q4 2025,Nov,78908,583,0.0074,16.07,1268.05,1267.56,1090.52,0.86,218.1,872.42,80.0,In Flight,Pending
5129,Unilever,CPG,Mid-Market,David R.,Display Banner,Desktop,Q2 2025,May,137784,757,0.0055,21.2,2921.02,2937.97,2760.36,0.945,1258.72,1501.64,54.4,In Flight,Pending
